categoria,percentagem
Open Source,0.004640371229698376
Mobile,0.002320185614849188
Java,0.22273781902552203
Software Engineering,0.037122969837587005
Internet,0.0951276102088167
Web Development,0.03944315545243619
Miscellaneous,0.004640371229698376
Microsoft .NET,0.07888631090487239
Microsoft,0.018561484918793503
Next Generation Databases,0.002320185614849188
PowerBuilder,0.016241299303944315
Client-Server,0.025522041763341066
Computer Graphics,0.013921113689095127
Object-Oriented Programming,0.009280742459396751
S,0.002320185614849188
Networking,0.016241299303944315
Theory,0.016241299303944315
Programming,0.027842227378190254
Python,0.013921113689095127
Mobile Technology,0.013921113689095127
Business,0.027842227378190254
P,0.002320185614849188
XML,0.009280742459396751
Perl,0.013921113689095127
java,0.002320185614849188
Microsoft/.NET,0.002320185614849188
Miscella,0.002320185614849188
Object-Technology Programming,0.002320185614849188
,0.004640371229698376
internet,0.002320185614849188
.NET,0.002320185614849188
Algorithmic Art,0.002320185614849188
PHP,0.002320185614849188
SOA,0.002320185614849188
Computer Graph,0.002320185614849188
Client Server,0.002320185614849188
In Action,0.002320185614849188
Software Development,0.002320185614849188
